maxsimulationtime=1000	models=Markov	randomamplitude=1.0	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	maxspeed=10	minspeed=5	memoryfactor=0.8	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
50	0	389	385	8041	105	0
50	1	55	329	6021	3015	0
50	2	208	474	5016	0098	0
50	3	461	4	7005	6002	0
50	4	0	225	159606095	5021	0
50	5	366	365	2077	3033	0
50	6	450	288	7016	1061	0
50	7	303	443	8018	4039	0
50	8	300	444	5038	0067	0
50	9	90	124	408	3036	0
51	0	393	394	1012	1012	0
51	1	49	330	0094	2092	0
51	2	216	474	1053	0007	0
51	3	466	9	101	0083	0
51	4	0	224	0	5051	0
51	5	361	364	2004	3027	0
51	6	442	292	1023	2066	0
51	7	302	437	0079	4045	0
51	8	305	448	1027	0067	0
51	9	85	128	1026	2035	0
52	0	390	402	8024	1088	0
52	1	44	334	6082	2052	0
52	2	220	480	5003	0094	0
52	3	473	8	7004	6013	0
52	4	0	224	11982705	4043	0
52	5	357	359	2084	4007	0
52	6	435	296	6044	2063	0
52	7	301	430	8056	4061	0
52	8	307	454	406	1034	0
52	9	80	131	4082	2064	0
53	0	388	411	1009	1082	0
53	1	38	335	0095	2086	0
53	2	228	484	1065	0049	0
53	3	474	0	1019	4078	0
53	4	1	224	0	0022	0
53	5	362	355	201	5056	0
53	6	434	304	1023	1069	0
53	7	305	425	008	5039	0
53	8	303	458	1009	2028	0
53	9	73	129	1056	3035	0
54	0	389	419	7008	105	0
54	1	32	340	7045	2048	0
54	2	230	493	5026	1034	0
54	3	483	2	7035	002	0
54	4	2	225	270475058	0062	0
54	5	367	355	2066	6016	0
54	6	439	311	7006	1001	0
54	7	306	418	806	409	0
54	8	299	458	4028	3013	0
54	9	65	129	4079	3013	0
55	0	382	424	1024	2045	0
55	1	33	347	1	1047	0
55	2	223	497	1057	2057	0
55	3	489	8	1024	0077	0
55	4	2	227	0	1075	0
55	5	371	349	2052	5032	0
55	6	437	319	1006	1075	0
55	7	309	412	0082	5017	0
55	8	296	462	1019	2009	0
55	9	58	126	106	3055	0
56	0	388	431	7013	0084	0
56	1	32	354	6071	1065	0
56	2	215	494	4046	3	0
56	3	496	13	7003	0068	0
56	4	2	229	15923903	104	0
56	5	375	344	205	5029	0
56	6	440	325	6085	1017	0
56	7	314	408	7082	5059	0
56	8	294	467	4043	1099	0
56	9	51	125	4043	3033	0
57	0	396	433	1025	0024	0
57	1	31	361	1012	1081	0
57	2	209	495	1041	3002	0
57	3	496	26	1021	1067	0
57	4	2	231	0	1066	0
57	5	376	338	2035	4095	0
57	6	443	333	1011	1025	0
57	7	318	402	0084	503	0
57	8	289	469	1027	2073	0
57	9	45	125	1033	3017	0
58	0	406	432	7066	6013	0
58	1	31	368	601	1051	0
58	2	206	492	3001	309	0
58	3	491	34	7026	2006	0
58	4	2	232	117328008	1063	0
58	5	376	332	206	4077	0
58	6	448	337	6013	0066	0
58	7	323	400	7015	5083	0
58	8	286	473	307	2022	0
58	9	42	129	4031	2027	0
59	0	414	435	1012	0035	0
59	1	32	375	1011	1047	0
59	2	203	493	1007	2056	0
59	3	489	42	1015	1082	0
59	4	2	232	0	1002	0
59	5	381	327	206	5047	0
59	6	453	340	1	006	0
59	7	327	395	0091	5037	0
59	8	283	477	1033	2026	0
59	9	38	133	1016	2038	0
60	0	418	441	7028	0097	0
60	1	32	383	7009	1049	0
60	2	202	492	201	3098	0
60	3	484	49	7057	2022	0
60	4	2	232	15369089	1006	0
60	5	388	322	3026	507	0
60	6	452	346	6044	1077	0
60	7	324	388	803	403	0
60	8	283	482	4015	1055	0
60	9	40	138	4075	1029	0
61	0	426	439	1017	5096	0
61	1	26	387	1016	2054	0
61	2	201	489	1029	4057	0
61	3	478	56	1022	2027	0
61	4	1	232	0	3038	0
61	5	391	315	2041	5004	0
61	6	454	352	0097	1028	0
61	7	321	380	0094	403	0
61	8	285	489	1056	1033	0
61	9	41	143	1019	1034	0
62	0	432	444	6072	0074	0
62	1	23	394	6006	1088	0
62	2	200	487	1044	4014	0
62	3	470	62	8002	2049	0
62	4	0	232	3251081	4006	0
62	5	395	309	3022	5032	0
62	6	456	358	6002	1021	0
62	7	317	374	8048	4009	0
62	8	286	495	3083	1037	0
62	9	42	149	5003	1047	0
63	0	437	450	1018	0086	0
63	1	25	400	1003	1023	0
63	2	199	487	0087	3076	0
63	3	465	68	1005	2034	0
63	4	0	232	0	4057	0
63	5	391	302	2024	4019	0
63	6	455	363	0091	107	0
63	7	313	368	0085	401	0
63	8	253	499	1027	2081	0
63	9	37	152	101	2062	0
64	0	440	457	6058	1025	0
64	1	26	406	5094	1042	0
64	2	198	485	2038	3092	0
64	3	460	74	6083	2023	0
64	4	0	232	21726049	2094	0
64	5	391	296	3009	406	0
64	6	454	369	6029	1075	0
64	7	313	360	9005	4081	0
64	8	250	495	4053	4005	0
64	9	36	158	4094	1074	0
65	0	445	464	1018	0091	0
65	1	26	413	1013	1062	0
65	2	198	482	1021	4056	0
65	3	456	79	1	2027	0
65	4	476	-25279	1	4071	0
65	5	389	289	2011	4049	0
65	6	449	374	1014	2027	0
65	7	309	353	0093	4016	0
65	8	246	492	0097	3067	0
65	9	31	161	101	2056	0
66	0	453	465	6079	0014	0
66	1	27	419	5061	1037	0
66	2	198	481	1033	4096	0
66	3	450	83	7059	2053	0
66	4	92	-24974	49002	2047	0
66	5	383	290	3011	3006	0
66	6	446	380	506	202	0
66	7	306	346	8018	4035	0
66	8	245	487	5085	406	0
66	9	29	165	4092	2005	0
67	0	460	464	1008	6017	0
67	1	26	425	1013	1078	0
67	2	199	479	1076	5036	0
67	3	446	88	008	2027	0
67	4	135	-25399	0087	4081	0
67	5	376	289	201	3028	0
67	6	441	383	0098	2049	0
67	7	307	339	0089	4083	0
67	8	243	483	0078	4025	0
67	9	24	169	1019	2055	0
68	0	463	457	7016	5009	0
68	1	26	430	4024	105	0
68	2	201	478	1018	5083	0
68	3	442	93	7043	2019	0
68	4	315	-25801	504022	5013	0
68	5	370	287	301	3038	0
68	6	440	388	501	1076	0
68	7	306	331	8086	4062	0
68	8	241	479	5012	4005	0
68	9	20	173	4073	2033	0
69	0	470	455	1012	6002	0
69	1	25	435	1029	1084	0
69	2	202	477	1026	5039	0
69	3	438	97	0082	2041	0
69	4	300	-26291	0097	4068	0
69	5	365	284	1078	3077	0
69	6	443	393	1002	1009	0
69	7	301	325	009	3097	0
69	8	239	477	0067	4016	0
69	9	15	171	1012	3044	0
70	0	476	462	8011	009	0
70	1	22	439	4003	202	0
70	2	204	476	1072	5086	0
70	3	432	96	6075	302	0
70	4	357	-26601	324096	4089	0
70	5	365	278	3049	4063	0
70	6	447	396	5052	0072	0
70	7	294	321	9033	3073	0
70	8	238	474	4043	4018	0
70	9	9	172	5051	3004	0
71	0	483	468	1018	0077	0
71	1	21	445	1038	1068	0
71	2	205	474	1046	4094	0
71	3	427	98	0086	208	0
71	4	491	-26878	0095	5016	0
71	5	363	272	1072	4044	0
71	6	448	402	1003	1035	0
71	7	290	313	0094	4023	0
71	8	234	473	0088	3051	0
71	9	3	169	1017	3052	0
72	0	490	474	7051	0067	0
72	1	20	449	3042	1092	0
72	2	206	472	1005	5031	0
72	3	422	95	7006	3073	0
72	4	492	-27037	16802	4071	0
72	5	362	266	3031	4046	0
72	6	449	408	6004	1043	0
72	7	283	309	8051	3062	0
72	8	231	469	4085	4003	0
72	9	0	156	3078	4059	0
73	0	491	483	1017	1048	0
73	1	21	454	1051	1028	0
73	2	206	470	2044	4099	0
73	3	418	90	0085	4002	0
73	4	374	-27085	0075	3052	0
73	5	361	260	1099	4058	0
73	6	450	413	0092	1044	0
73	7	275	309	0097	3011	0
73	8	228	468	0072	3046	0
73	9	3	149	1014	5019	0
74	0	499	483	6095	0008	0
74	1	21	459	302	1065	0
74	2	206	468	009	408	0
74	3	412	93	7081	2067	0
74	4	409	-27180	135047	5007	0
74	5	360	254	3018	4064	0
74	6	450	419	6023	1049	0
74	7	266	311	8064	2095	0
74	8	224	468	5013	3029	0
74	9	3	144	3066	4065	0
75	0	499	489	102	0055	0
75	1	16	461	1059	2068	0
75	2	208	467	2004	6005	0
75	3	406	91	0081	3053	0
75	4	464	-27241	006	5045	0
75	5	356	248	2033	4009	0
75	6	451	426	1004	1046	0
75	7	262	317	009	2017	0
75	8	221	470	0082	2065	0
75	9	0	142	1014	3088	0
76	0	483	498	4032	2098	0
76	1	11	459	3033	3055	0
76	2	210	467	0075	5096	0
76	3	400	90	8016	3032	0
76	4	499	-27297	109024	5027	0
76	5	352	241	3013	4013	0
76	6	449	432	6009	1084	0
76	7	256	320	7047	208	0
76	8	216	471	6009	2091	0
76	9	1	137	2023	4018	0
77	0	478	496	1024	3058	0
77	1	7	459	1041	3003	0
77	2	211	467	1034	5099	0
77	3	393	90	0083	3015	0
77	4	460	-27333	0048	3089	0
77	5	345	241	2032	3023	0
77	6	449	438	0095	1056	0
77	7	250	316	0084	3069	0
77	8	212	472	0072	2085	0
77	9	0	136	0097	401	0
78	0	474	493	3073	3081	0
78	1	3	463	3071	2036	0
78	2	211	465	1025	4099	0
78	3	385	88	9009	3035	0
78	4	449	-27375	89051	4044	0
78	5	337	243	3033	2091	0
78	6	448	443	5084	1077	0
78	7	244	316	7013	3028	0
78	8	208	475	6032	2055	0
78	9	0	131	1083	3079	0
79	0	473	490	0096	4025	0
79	1	2	470	1019	1034	0
79	2	212	464	1033	5066	0
79	3	379	91	0081	2069	0
79	4	431	-27407	004	4021	0
79	5	330	244	2012	3001	0
79	6	445	449	1014	2011	0
79	7	238	314	009	3045	0
79	8	205	477	0056	2055	0
79	9	0	127	103	4062	0
80	0	472	488	1087	4042	0
80	1	5	473	3072	0088	0
80	2	213	463	0091	5014	0
80	3	373	95	7096	2062	0
80	4	428	-27436	74084	406	0
80	5	323	244	3059	3003	0
80	6	443	456	6052	1084	0
80	7	232	311	7011	3058	0
80	8	205	480	6053	1049	0
80	9	1	122	2024	4085	0
81	0	471	487	0089	3098	0
81	1	8	477	1023	0085	0
81	2	213	462	1012	4072	0
81	3	368	98	0079	2047	0
81	4	430	-27462	0034	408	0
81	5	316	247	2004	2085	0
81	6	437	458	1001	2086	0
81	7	227	307	0099	3078	0
81	8	204	483	005	2003	0
81	9	2	120	1016	501	0
82	0	470	485	2012	4018	0
82	1	11	480	3058	0072	0
82	2	214	461	1044	5048	0
82	3	364	103	7087	2038	0
82	4	417	-27477	59062	4001	0
82	5	310	249	3024	2075	0
82	6	432	464	7066	2028	0
82	7	221	302	7048	3088	0
82	8	200	485	804	2061	0
82	9	2	118	107	4096	0
83	0	470	485	0031	4045	0
83	1	15	479	1005	6012	0
