maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
24	9	256	250	3052	0	0
25	0	133	250	7023	0	0
25	1	455	250	0	1057	0
25	2	323	255	4026	3014	0
25	3	31	450	2025	0	0
25	4	255	265	5004	1057	0
25	5	450	454	0	-1057	0
25	6	450	84	10	-1057	0
25	7	0	455	7016	3014	0
25	8	104	50	3028	0	0
25	9	261	250	5043	0	0
26	0	142	250	8082	0	0
26	1	456	250	1072	0	0
26	2	318	255	4087	3014	0
26	3	34	450	206	0	0
26	4	255	270	4075	1057	0
26	5	450	454	0	-1057	0
26	6	450	74	10	-1057	0
26	7	0	450	8076	0	0
26	8	109	50	4077	0	0
26	9	267	250	6012	0	0
27	0	152	250	10	0	0
27	1	456	250	0019	0	0
27	2	311	255	6078	3014	0
27	3	38	450	4016	0	0
27	4	255	275	5021	1057	0
27	5	450	454	0037	-1057	0
27	6	450	65	9074	-1057	0
27	7	9	450	9092	0	0
27	8	116	50	607	0	0
27	9	275	250	7033	0	0
28	0	162	250	10	0	0
28	1	456	250	0	0	0
28	2	303	255	8076	3014	0
28	3	44	450	5092	0	0
28	4	255	281	5068	1057	0
28	5	450	452	1078	-1057	0
28	6	450	55	10	-1057	0
28	7	19	450	10	0	0
28	8	121	50	5057	0	0
28	9	283	250	8019	0	0
29	0	170	250	8033	0	0
29	1	456	250	0	0	0
29	2	293	255	9014	3014	0
29	3	50	450	6078	0	0
29	4	255	286	503	1057	0
29	5	450	448	3062	-1057	0
29	6	450	55	10	-1057	0
29	7	29	450	9066	0	0
29	8	127	50	6004	0	0
29	9	293	250	10	0	0
30	0	176	250	604	0	0
30	1	458	250	101	0	0
30	2	283	255	10	3014	0
30	3	50	450	7098	-1057	0
30	4	255	291	5012	1057	0
30	5	450	444	4065	-1057	0
30	6	450	55	0	-1057	0
30	7	39	450	10	0	0
30	8	133	50	6017	0	0
30	9	302	250	901	0	0
31	0	183	250	7001	0	0
31	1	459	250	1072	0	0
31	2	273	255	10	3014	0
31	3	50	442	7038	-1057	0
31	4	255	296	5014	1057	0
31	5	450	438	505	-1057	0
31	6	450	55	0	-1057	0
31	7	49	450	10	0	0
31	8	140	50	6032	0	0
31	9	312	250	9073	0	0
32	0	189	250	5038	0	0
32	1	462	250	2076	0	0
32	2	263	255	10	3014	0
32	3	50	434	709	-1057	0
32	4	255	302	5064	1057	0
32	5	450	435	3059	-1057	0
32	6	450	53	1034	-1057	0
32	7	50	450	8098	0	0
32	8	145	50	5018	0	0
32	9	322	250	10	0	0
33	0	194	250	5055	0	0
33	1	466	250	4046	0	0
33	2	255	255	10	3014	0
33	3	50	425	9	-1057	0
33	4	255	307	4079	1057	0
33	5	450	432	2079	-1057	0
33	6	450	52	1063	-1057	0
33	7	60	450	10	0	0
33	8	152	50	6053	0	0
33	9	332	250	10	0	0
34	0	199	250	4057	0	0
34	1	473	250	6045	0	0
34	2	255	255	0	3014	0
34	3	50	417	807	-1057	0
34	4	255	310	3	1057	0
34	5	450	428	4014	-1057	0
34	6	450	50	1017	-1057	0
34	7	70	450	10	0	0
34	8	159	50	7075	0	0
34	9	342	250	10	0	0
35	0	202	250	3007	0	0
35	1	481	250	8023	0	0
35	2	255	255	0	3014	0
35	3	50	409	7019	-1057	0
35	4	255	312	2049	1057	0
35	5	450	423	4069	-1057	0
35	6	450	49	104	-1057	0
35	7	79	450	9	0	0
35	8	168	50	9014	0	0
35	9	350	250	809	0	0
36	0	206	250	3079	0	0
36	1	491	250	9048	0	0
36	2	255	255	0	3014	0
36	3	50	400	9008	-1057	0
36	4	255	315	3008	1057	0
36	5	450	419	3049	-1057	0
36	6	450	47	1054	-1057	0
36	7	88	450	9015	0	0
36	8	176	50	7033	0	0
36	9	358	250	7014	0	0
37	0	211	250	5034	0	0
37	1	500	250	9026	0	0
37	2	255	255	0	3014	0
37	3	50	393	7072	-1057	0
37	4	255	317	1099	1057	0
37	5	450	415	4022	-1057	0
37	6	450	44	3009	-1057	0
37	7	97	450	9016	0	0
37	8	183	50	7011	0	0
37	9	365	250	7034	0	0
38	0	215	250	3071	0	0
38	1	500	255	9044	3014	0
38	2	255	255	0	3014	0
38	3	50	383	9039	-1057	0
38	4	255	318	0083	1057	0
38	5	450	410	5022	-1057	0
38	6	450	42	2008	-1057	0
38	7	107	450	10	0	0
38	8	190	50	7047	0	0
38	9	373	250	8054	0	0
39	0	220	250	5032	0	0
39	1	490	255	10	3014	0
39	2	250	255	109	-1057	0
39	3	50	375	7092	-1057	0
39	4	255	320	1076	1057	0
39	5	450	403	609	-1057	0
39	6	450	40	207	-1057	0
39	7	117	450	10	0	0
39	8	198	50	7027	0	0
39	9	383	250	10	0	0
40	0	227	250	7014	0	0
40	1	480	255	10	3014	0
40	2	250	252	2069	-1057	0
40	3	50	365	9079	-1057	0
40	4	255	322	2027	1057	0
40	5	450	398	501	-1057	0
40	6	450	35	4014	-1057	0
40	7	126	450	809	0	0
40	8	203	50	5036	0	0
40	9	393	250	10	0	0
41	0	234	250	6065	0	0
41	1	470	255	10	3014	0
41	2	250	248	4013	-1057	0
41	3	50	357	8034	-1057	0
41	4	255	325	2081	1057	0
41	5	450	394	3061	-1057	0
41	6	450	30	5079	-1057	0
41	7	134	450	7098	0	0
41	8	208	50	5047	0	0
41	9	402	250	8036	0	0
42	0	242	250	7084	0	0
42	1	460	255	10	3014	0
42	2	250	242	5035	-1057	0
42	3	50	350	7048	-1057	0
42	4	255	326	1008	1057	0
42	5	450	390	4028	-1057	0
